Spectrum No,Lat,Lon,lheight,dose,Cs_G,TC_g
447,47.97186958,16.50565527,12.27703109,14.45007133,0,320.0286865
448,47.97184713,16.50564001,12.3961569,15.89177181,0,305.6158447
449,47.97181816,16.50564299,12.26033047,15.44456443,6.666900789,298.2799072
450,47.97179638,16.50567005,12.08833829,15.37597752,5.372246647,292.391449
451,47.97177942,16.50570304,12.12681683,15.04404736,19.23852921,261.698761
452,47.97176213,16.5057381,12.11320641,18.40913798,16.50054918,285.3628235
453,47.97174565,16.50577335,12.16167664,19.24875214,0,362.1527405
454,47.97173067,16.5058057,12.18,20.35822952,0,410.7442627
455,47.97171485,16.50583933,12.18391,21.35690508,8.069353184,451.2390747
456,47.9717006,16.50586964,12.23292416,25.08033619,0,512.1256714
457,47.97168619,16.50590002,12.20625371,27.73147983,0,561.8734741
458,47.9716693,16.50593554,12.10279603,28.87229998,0,629.0806885
459,47.97165186,16.50597175,12.15454453,27.01372448,0,553.6990967
460,47.97163595,16.50600414,12.07582001,26.52291667,0,533.3891602
461,47.97162077,16.50603397,11.86552012,23.01316905,0,477.5453491
462,47.97160464,16.50606475,11.70129388,26.06108986,0,451.4271851
463,47.97158607,16.5060999,11.76575999,25.86652438,0,522.5233154
464,47.97156988,16.50613324,11.73865008,22.39405018,0,522.6837158
465,47.97155632,16.50616276,11.67186812,18.84429686,0,482.4998169
466,47.97154324,16.50618984,11.73356002,17.42636299,0,402.0683289
467,47.97152844,16.50621962,11.76824005,15.43164635,0,302.4029541
468,47.97150983,16.50625601,11.70804805,12.95921898,0,299.2216797
469,47.9714928,16.50628877,11.71391605,14.39487252,0,307.6784973
470,47.97147703,16.50631928,11.72611999,10.93720469,0,226.3014221
471,47.97146132,16.50634926,11.70590459,13.65903091,2.687471062,200.0690918
472,47.97144397,16.50638329,11.63905918,12.90806571,7.205299738,240.016922
473,47.97142693,16.50641822,11.52777557,12.37600614,9.849133904,234.4583893
474,47.97141167,16.50644864,11.55404809,11.96722007,30.08724162,183.2203522
475,47.971397,16.50647622,11.49791997,9.963312297,40.0685146,155.7603149
476,47.97138062,16.50650624,11.43797,12.94795107,21.52217612,173.2863922
477,47.9713618,16.50654228,11.39178999,10.14716434,7.731965526,206.0128479
478,47.97134431,16.50657578,11.34596,8.84999752,16.7558651,169.9867706
479,47.97132869,16.50660575,11.37240001,11.49783516,6.850663662,175.7309265
480,47.97131434,16.50663337,11.42405,11.61209107,1.901235554,224.1801758
481,47.97129811,16.50666451,11.364945,10.77273273,8.816478766,217.9125977
482,47.97127874,16.50670179,11.28629631,11.57695022,7.059960064,173.4925537
483,47.97126216,16.50673337,11.29364,11.15427876,0,193.6441956
484,47.97124697,16.50676168,11.25781529,11.74100416,9.685498832,179.3435974
485,47.97123291,16.50678755,11.21183179,9.851507036,29.67992096,125.6062622
486,47.97121709,16.50681745,11.18214429,9.150333405,28.83361038,140.6931305
487,47.97119645,16.50685756,11.15518523,12.30335331,3.11720705,209.0641174
488,47.97117995,16.50688931,11.16351348,11.17089117,0,210.1611633
489,47.97116494,16.50691816,11.26180001,11.00234952,3.805768095,163.2150879
490,47.97114916,16.50694834,11.23771229,11.43290817,20.36114877,108.6252136
491,47.97113081,16.50698342,11.22822,14.84407997,18.5224804,145.9411774
492,47.97111349,16.50701644,11.13724988,10.89126794,7.16747527,202.2369232
493,47.97109761,16.5070463,11.09314698,11.07942295,13.04116233,206.0409546
494,47.97108285,16.50707424,11.22760999,11.19230175,2.13952589,238.9386292
495,47.97106657,16.50710506,11.11913993,9.533167001,4.495146828,180.4560547
496,47.97104678,16.50714188,11.0229552,9.160238345,0,168.1373901
497,47.97102977,16.50717428,11.0741041,8.193888664,0,157.2447662
498,47.97101446,16.50720407,11.0841324,9.94267322,0,155.1829529
499,47.97100018,16.50723155,11.16079077,10.04043579,8.711071758,174.0371399
500,47.97098407,16.50726227,11.24328001,9.558534356,11.40476508,142.932312
501,47.97096325,16.50730196,11.16565998,10.12940628,5.21016854,149.2690582
502,47.97094651,16.50733303,11.06486002,8.347608566,0,165.0681915
503,47.97093125,16.50736132,11.04258741,10.3864067,7.19747856,174.0679932
504,47.97091522,16.50739102,11.06421,9.764296031,2.837172224,175.6274261
505,47.97089667,16.50742591,11.01936002,9.356912907,0.979293919,138.0317383
506,47.97087936,16.50745976,11.00504502,9.210913658,0.301378576,166.9316101
507,47.9708639,16.50748978,11.07576424,8.881504834,2.468312276,183.3820496
508,47.97084718,16.5075115,11.12486591,8.694371223,7.93316122,179.6568604
509,47.97082493,16.50751824,11.13715004,10.23461533,9.910657883,194.0713196
510,47.97079807,16.50749872,11.02480963,10.66414263,31.14144316,199.9235077
511,47.97077684,16.50747191,10.98577155,10.73255802,28.05965643,192.0287781
512,47.97075975,16.50744411,11.02254256,10.95452881,13.5584927,176.4824524
513,47.97074943,16.5074115,11.1610489,8.589710091,18.72757524,158.0721436
514,47.97075213,16.50737256,11.23584004,10.15275574,0.033471827,170.9126892
515,47.97076709,16.50733645,11.16434566,11.4565066,0,138.3406372
