timestamp,lat,lon,Total,Countrate,U238,K40,Th232,Cs137,Height,Press,Temp,Hum
1751446015879,47.970859426486165,16.50678834114185,408,134,40.509,229.502,3.843,-6.501,247.78066391995293,997.1507720558883,32.32161177644711,36.10677644710579
1751445979848,47.9708718914446,16.507450319541842,425,146,11.017,134.135,38.23,15.597,252.55199579242637,997.1280530938124,32.04185129740519,36.49629740518962
1751446012876,47.970891426289924,16.506460873415232,452,156,31.285,177.895,13.9,9.679,248.06040294840292,997.1108326683292,32.29326184538653,36.156738154613464
1751447228926,47.970895323226095,16.507827785896872,401,126,36.92,142.11,10.048,0.7,257.56461260467165,995.4166738522954,36.16,32.475788423153695
1751447075813,47.97089721291513,16.507425119135476,435,143,37.616,32.968,17.511,12.679,241.66942013705852,997.4770443298969,35.91,32.90762886597938
1751447093829,47.97089875725807,16.507091923963134,427,131,17.006,173.265,13.548,32.854,242.0156866359447,997.3922734286664,35.92,32.88
1751447225925,47.970918944899104,16.507741221244395,368,130,30.995,91.255,23.083,-8.839,261.32496132286997,995.5298145137157,36.16,32.49358104738155
1751447222922,47.9709202222004,16.507728770530452,393,132,32.572,130.881,9.455,1.713,263.88814734774064,995.7107639720559,36.16,32.47079341317365
1751447072809,47.97094693982821,16.507332246609405,467,140,0.25,96.544,44.158,-0.102,241.59783544303798,997.4814519787162,35.91,32.906205520452275
1751446736539,47.970947677548004,16.507422092171343,476,148,39.361,130.835,25.923,-11.681,246.7992895125554,997.7642473053892,35.55,34.768143712574854
1751447096831,47.97095033815789,16.506992289473686,442,137,45.57,39.712,13.375,16.214,242.28790789473683,997.3833252162342,35.92,32.88598137059215
1751446955713,47.970966922431764,16.50760715344913,475,169,28.007,57.38,33.237,1.782,241.88176674937964,997.2457205089821,35.8,33.43903193612774
1751445997862,47.97097669411765,16.5071555,410,132,0.341,243.716,27.301,13.773,249.37652941176472,997.0557415960101,32.183451371571074,36.31309725685786
1751446952710,47.97098592926224,16.507714234717916,424,135,23.722,73.461,24.154,16.044,241.8281952882827,997.2805925187033,35.79,33.43
1751447069807,47.97099851395471,16.507234927751448,469,173,27.204,142.176,13.476,20.642,241.5237614533965,997.487485234453,35.91,32.9
1751447099834,47.97100128850633,16.50689467387342,425,152,3.162,73.391,31.797,27.349,242.5680506329114,997.3785917139994,35.92299365185433,32.89700634814567
1751446958716,47.97101435081466,16.50751325203666,433,169,14.554,59.227,27.469,31.982,242.54346435845213,997.2047091770573,35.8,33.41
1751445994858,47.97102163072034,16.50746863697034,423,143,18.693,203.049,22.135,0.238,249.3624120762712,997.0586754491018,32.16173652694611,36.31826347305389
1751447219919,47.971023254767935,16.5076875628692,418,129,26.89,114.166,19.731,5.72,264.9159232067511,995.8525715710723,36.16,32.4472319201995
1751445991857,47.97103365801461,16.50770570666094,397,149,37.965,83.424,15.816,4.296,249.30186205414697,997.0849686783042,32.13353117206983,36.34470324189526
1751447066804,47.97104733934426,16.507141155737706,430,146,23.265,69.715,27.06,-1.8,241.47106557377052,997.4947131360159,35.91,32.91373461922181
1751447102822,47.97104939832974,16.506801563146553,414,130,14.922,207.025,13.741,22.842,242.78137176724138,997.3756040226065,35.93,32.88407579787234
1751446949706,47.971050286015036,16.50776068350877,431,153,12.873,106.706,37.776,3.348,242.85246766917294,997.3048570858284,35.79,33.43051397205589
1751445982851,47.97105875178479,16.50743428018624,432,142,51.132,180.87,1.774,2.701,251.3471784790481,997.1023224051896,32.0636626746507,36.43816866267465
1751446961717,47.971063243114145,16.507419465632754,473,171,33.424,110.996,7.084,32.106,242.9453870967742,997.1725954091818,35.8,33.390439121756486
1751447063802,47.97109795367356,16.507045818037835,481,172,17.079,129.184,36.568,14.9,241.35998856137263,997.4864499501165,35.9031493182574,32.9268506817426
1751447105824,47.97110036940063,16.50670395993691,444,147,6.827,152.008,20.236,36.86,242.74133438485805,997.3725585300965,35.93,32.86117060192883
