RECS_fid,Lat_deg,Lon_deg,DosPGIS_nGypH
333,47.974815,16.512461,53.253
334,47.974819,16.512447,55.156
335,47.974827,16.512436,57.43
336,47.974834,16.512424,58.346
337,47.974838,16.512417,56.702
338,47.974846,16.512407,56.783
339,47.974853,16.512398,55.716
340,47.974861,16.512388,54.51
341,47.974869,16.512379,55.064
342,47.974876,16.512369,52.961
343,47.97488,16.512356,50.96
344,47.974884,16.512346,49.891
345,47.974892,16.512337,49.699
346,47.974899,16.512329,48.562
347,47.974903,16.512329,48.586
348,47.974914,16.512335,49.422
349,47.974918,16.512344,47.562
350,47.974918,16.512358,48.112
351,47.974918,16.512369,50.394
352,47.974911,16.51238,49.86
353,47.974903,16.51239,49.882
354,47.974899,16.512401,48.185
355,47.974895,16.512415,46.773
356,47.974892,16.512422,47.045
357,47.974884,16.512434,48.07
358,47.974876,16.512443,48.518
359,47.974872,16.512455,49.397
360,47.974869,16.512466,51.842
361,47.974865,16.51248,56.067
362,47.974861,16.512491,80.689
363,47.974853,16.512501,92.278
364,47.974846,16.51251,88.94
365,47.974842,16.51252,79.586
366,47.974834,16.512527,71.44
367,47.974827,16.512537,64.59
368,47.974823,16.512546,58.987
369,47.974815,16.512554,55.288
370,47.974808,16.512564,52.401
371,47.974804,16.512573,51.769
372,47.9748,16.512583,49.7
373,47.974785,16.512594,48.672
374,47.974781,16.512607,48.102
375,47.974773,16.512619,47.306
376,47.97477,16.51263,45.067
377,47.974762,16.512642,44.307
378,47.974758,16.512649,42.318
379,47.97475,16.512659,40.732
380,47.974747,16.512672,43.615
381,47.974739,16.512684,43.145
382,47.974735,16.512695,44.728
383,47.974728,16.512707,44.7
384,47.974724,16.512716,45.166
385,47.97472,16.512726,45.009
386,47.97472,16.512733,46.087
387,47.974728,16.512735,47.595
388,47.974731,16.512733,47.759
389,47.974739,16.512728,49.365
390,47.974743,16.512718,48.187
391,47.974747,16.512711,46.325
392,47.97475,16.512697,45.806
393,47.974754,16.512686,45.894
394,47.974762,16.512672,46.689
395,47.974766,16.512661,46.31
396,47.974773,16.512646,45.672
397,47.974781,16.512634,45.504
398,47.974789,16.512623,43.335
399,47.974796,16.512613,44.544
400,47.9748,16.512604,44.268
401,47.974808,16.512592,42.44
402,47.974815,16.512583,44.258
403,47.974823,16.512571,43.846
404,47.974827,16.51256,44.165
405,47.974834,16.512548,44.213
406,47.974842,16.512539,48.131
407,47.974846,16.512527,52.458
408,47.974853,16.512514,54.935
409,47.974857,16.512503,53.648
410,47.974865,16.512491,56.077
411,47.974869,16.51248,56.509
412,47.974872,16.512468,56.146
413,47.974876,16.512459,56.024
414,47.974884,16.512447,54.089
415,47.974892,16.512436,52.469
416,47.974899,16.512426,52.272
417,47.974903,16.512417,51.803
418,47.974911,16.512405,51.575
419,47.974918,16.512394,49.231
420,47.974922,16.512382,49.874
421,47.97493,16.512373,48.727
422,47.974941,16.512363,49.818
423,47.974949,16.512358,49.877
424,47.974956,16.512362,50.419
425,47.97496,16.512371,52.858
426,47.974964,16.512384,52.554
427,47.974964,16.512403,52.37
428,47.97496,16.512422,52.987
429,47.974953,16.512436,51.711
430,47.974949,16.512447,52.928
431,47.974945,16.512461,51.606
432,47.974941,16.51247,51.013
433,47.974934,16.512482,51.042
434,47.97493,16.512493,49.883
435,47.974922,16.512503,49.511
436,47.974918,16.512514,52.21
437,47.974911,16.512525,51.182
438,47.974903,16.512537,52.322
439,47.974899,16.512548,52.292
440,47.974892,16.51256,51
441,47.974884,16.512571,49.735
442,47.97488,16.512583,52.059
443,47.974872,16.512594,51.497
444,47.974869,16.512607,51.64
445,47.974865,16.512619,49.275
446,47.974857,16.51263,48.867
447,47.974853,16.512642,47.221
448,47.974846,16.512651,46.626
449,47.974838,16.512663,45.837
450,47.974831,16.512672,45.811
451,47.974827,16.512682,44.564
452,47.974819,16.512691,43.591
453,47.974812,16.512701,43.796
454,47.974808,16.512712,44.968
455,47.9748,16.512724,44.122
456,47.974792,16.512733,43.272
457,47.974785,16.512741,44.019
458,47.974781,16.512752,42.581
459,47.974777,16.512758,42.952
460,47.974773,16.51277,41.789
461,47.97477,16.512779,41.433
462,47.97477,16.512791,43.084
463,47.97477,16.5128,44.917
464,47.974773,16.512804,47.084
465,47.974777,16.512798,48.775
466,47.974781,16.512789,50.579
467,47.974781,16.512775,47.524
468,47.974785,16.51276,48.063
469,47.974792,16.512749,47.354
470,47.9748,16.512739,47.217
471,47.974804,16.512726,46.716
472,47.974808,16.512716,48.361
473,47.974815,16.512705,47.866
474,47.974819,16.512693,46.121
